,0,1,2
0,12895417.67,-3747121.056,1
1,12893037.99,-3747355.576,0.351952486
2,12892065.71,-3751847.428,0.068312262
3,12896009.73,-3751496.784,0.17400609
4,12887419.7,-3748887.999,0.13114956
5,12895036.94,-3751361.857,0.172170729
6,12896536.58,-3754030.565,0.053693667
7,12900053.18,-3749769.745,0.055014602
8,12888654.32,-3750617.873,0.470854832
9,12895748.7,-3753181.334,0.111277952
10,12887642.69,-3753041.025,0.495109512
11,12891901.85,-3750214.133,0.113515081
12,12895721.11,-3750175.855,0.03301828
13,12891427.49,-3750555.118,0.114050816
14,12896069.87,-3749237.376,0.414597399
15,12886736.69,-3748697.682,0.158822465
16,12892419.64,-3750915.239,0.091836203
17,12890304.77,-3750678.086,0.233993661
18,12891624.41,-3750806.862,0.094672741
19,12893043.32,-3750880.719,0.072175939
20,12891395.05,-3750522.883,0.19881915
21,12891431.4,-3750628.354,0.084064971
22,12895437.65,-3749779.611,0.476580916
23,12888511.28,-3749628.826,0.406668209
24,12892147.21,-3751001.436,0.082717935
25,12902058.28,-3752394.095,0.388292818
26,12899416.23,-3754287.373,0.570260426
27,12894516.47,-3751001.402,0.26827006
28,12895983.16,-3749184.859,0.340024945
29,12894337.56,-3752771.717,0.572981531
30,12900679.88,-3753737.983,0.219350738
31,12892911.7,-3751634.752,0.026653329
32,12900331.92,-3752179.473,0.296080468
33,12887983.71,-3748835.379,0.107444531
34,12889553.49,-3746112.737,0.426555948
35,12886347.21,-3749682.988,0.071198086
36,12899981.56,-3751988.937,0.338151463
37,12894453.67,-3749873.933,0.089683574
38,12894395.44,-3750681.253,0.216334465
39,12892272.71,-3751007.867,0.146972987
40,12895640.64,-3750481.013,0.567338346
41,12891794.14,-3748653.79,0.30817216
42,12896409.43,-3753715.618,0.194294765
43,12895540.55,-3753425.264,0.163212429
44,12897315.23,-3753700.796,0.287445797
45,12891495.97,-3750446.408,0.056558706
46,12887269.99,-3750958.117,0.15192542
47,12891366,-3751360.313,0.289231932
48,12897908.13,-3748772.35,0.588411871
49,12899411.99,-3753220.41,0.023782057
50,12888961.11,-3755083.917,0.837931773
51,12891793.5,-3750456.177,0.088907466
52,12891365.75,-3749636.79,0.263598394
53,12892230.25,-3751195.135,0.164708256
54,12890520.26,-3749837.239,0.419115667
55,12901129.05,-3749656.989,0.314058222
56,12901661.36,-3750545.019,0.147942734
57,12893980.48,-3751641.319,0.159210016
58,12891426.19,-3749296.825,0.201911552
59,12890918.19,-3750112.934,0.370491431
60,12896122.61,-3751755.425,0.160164709
61,12897902.04,-3750819.244,0.182904893
62,12892107.08,-3749073.417,0.251179873
63,12899218.74,-3750102.643,0.221769589
64,12896034.18,-3749535.177,0.034572754
65,12889024.07,-3748487.147,0.276533516
66,12890053.38,-3753650.311,0.19608586
67,12888447.58,-3747960.384,0.505158867
68,12897532.56,-3753518.136,0.283158416
69,12889971.22,-3746158.983,0.292966444
70,12894146.89,-3752848.894,0.632501106
71,12887736.29,-3751959.774,0.306372515
72,12892846,-3752084.846,0.015528391
73,12896098.34,-3751527.881,0.043195777
74,12900192.09,-3751249.242,0.22484709
75,12896200.78,-3754453.329,0.246970683
76,12894666.64,-3750836.384,0.109432387
77,12892490.12,-3750413.366,0.135530539
78,12900029.57,-3750045.728,0.462982629
79,12889627.37,-3752357.539,0.417899774
80,12894913.46,-3749883.944,0.315125598
81,12886156.62,-3749576.005,0.222330008
82,12895212.4,-3749740.534,0.265429751
83,12900408.44,-3751513.188,0.367512143
84,12886948.82,-3750558.514,0.329015874
85,12895538.75,-3747003.488,0.14303272
86,12902771.09,-3753100.956,0.780243938
87,12897582.47,-3749266.105,0.101665129
88,12890044.11,-3750424.037,0.011261996
89,12899848.54,-3750134.783,0.210744917
90,12887414.21,-3746176.456,0.775821778
91,12889717.57,-3753492.412,0.331561682
92,12892034.3,-3751589.213,0.202826377
93,12894258.05,-3754589.338,0.57227282
94,12891725.39,-3750753.492,0.158275336
95,12900346.17,-3754419.195,0.238104238
96,12890790.39,-3751439.753,0.151761594
97,12887992.35,-3753756.883,0.745101825
98,12894669.78,-3750096.508,0.389519095
99,12898068.69,-3750881.167,0.397228314
100,12900649.55,-3751920.185,0.066038432
101,12887141.92,-3749421.451,0.529502883
102,12892978.48,-3746703.248,0.69954638
103,12888017.34,-3746236.611,0.262715476
104,12895752.86,-3752397.757,0.274035601
